group,session,date,end_date,title,flag,deadline,content,lesson,example,assignment,note
Foundations,Session 1,2024-08-26,2024-08-30,"Truth, beauty, and data + R and tidyverse",,,content/01-content,lesson/01-lesson,example/01-example,,
Foundations,,2024-09-03,,Assignment for session 1 due,,,,,,assignment/01-exercise,
Foundations,Session 2,2024-09-03,2024-09-06,Graphic design,,,content/02-content,lesson/02-lesson,example/02-example,,
Foundations,,2024-09-09,,Assignment for session 2 due,,11:59 PM,,,,assignment/02-exercise,
Foundations,Session 3,2024-09-09,2024-09-13,Mapping data to graphics,,,content/03-content,lesson/03-lesson,example/03-example,,
Foundations,,2024-09-16,,Assignment for session 3 due,,,,,,assignment/03-exercise,
Core types of graphics,Session 4,2024-09-16,2024-09-20,Amounts and proportions,,,content/04-content,lesson/04-lesson,example/04-example,,
Core types of graphics,,2024-09-23,,Assignment for session 4 due,,11:59 PM,,,,assignment/04-exercise,
Core types of graphics,Session 5,2024-09-23,2024-09-27,Themes,,,content/05-content,lesson/05-lesson,example/05-example,,
Core types of graphics,,2024-09-30,,Assignment for session 5 due,,,,,,assignment/05-exercise,
Core types of graphics,Session 6,2024-09-30,2024-10-04,Uncertainty,,,content/06-content,lesson/06-lesson,example/06-example,,
Core types of graphics,,2024-10-07,,Assignment for session 6 due,,11:59 PM,,,,assignment/06-exercise,
Core types of graphics,Session 7,2024-10-07,2024-10-11,Relationships,,,content/07-content,lesson/07-lesson,example/07-example,,
Core types of graphics,,2024-10-14,,Assignment for session 7 due,,,,,,assignment/07-exercise,
Core types of graphics,Session 8,2024-10-14,2024-10-18,Comparisons,,,content/08-content,lesson/08-lesson,example/08-example,,
Core types of graphics,,2024-10-21,,Assignment for session 8 due,,11:59 PM,,,,assignment/08-exercise,
Core types of graphics,,2024-10-21,,Mini project 1 due,TRUE,11:59 PM,,,,assignment/01-mini-project,
Special applications,Session 9,2024-10-21,2024-10-25,Annotations,,,content/09-content,lesson/09-lesson,example/09-example,,
Special applications,,2024-10-28,,Assignment for session 9 due,,,,,,assignment/09-exercise,
Special applications,Session 10,2024-10-28,2024-11-01,Enhancing graphics,,,content/10-content,lesson/10-lesson,example/10-example,,
Special applications,,2024-11-04,,Assignment for session 10 due,,11:59 PM,,,,assignment/10-exercise,
Special applications,Session 11,2024-11-04,2024-11-08,Interactivity,,,content/11-content,lesson/11-lesson,example/11-example,,
Special applications,,2024-11-05,,Election day!,TRUE,,,,,,
Special applications,,2024-11-11,,Assignment for session 11 due,,,,,,assignment/11-exercise,
Special applications,Session 12,2024-11-11,2024-11-15,Space,,,content/12-content,lesson/12-lesson,example/12-example,,
Special applications,,2024-11-18,,Assignment for session 12 due,,11:59 PM,,,,assignment/12-exercise,
Special applications,,2024-11-18,,Mini project 2 due,TRUE,11:59 PM,,,,assignment/02-mini-project,
Special applications,Session 13,2024-11-18,2024-11-22,Time,,,content/13-content,lesson/13-lesson,example/13-example,assignment/13-exercise,
Special applications,,2024-12-02,,Assignment for session 13 due,,,,,,,
Special applications,Session 14,2024-12-02,2024-12-06,Text,,,content/14-content,lesson/14-lesson,example/14-example,assignment/14-exercise,
Special applications,,2024-12-09,,Assignment for session 14 due,,11:59 PM,,,,,
Conclusions,Session 15,2024-12-09,2024-12-09,"Truth, beauty, and data revisited",,,content/15-content,lesson/15-lesson,example/15-example,assignment/15-exercise,
Conclusions,,2024-12-10,,Assignment for session 15 due,,11:59 PM,,,,,
Conclusions,,2024-12-16,,Final project due,TRUE,11:59 PM,,,,assignment/final-project,
